This eBook is for the use of anyone anywhere at no cost and withalmost no restrictions whatsoever.  You may copy it give it away orre-use it under the terms of the Project Gutenberg License includedwith this eBook or online at www.gutenberg.org,faust
[Illustration: Faust][Illustration][Illustration][Illustration: _Have you not led this life quite long enough?_],faust
SCENE I. NIGHT (_Faust's Monologue_)     II. BEFORE THE CITY-GATE    III. THE STUDY (_The Exorcism_)     IV. THE STUDY (_The Compact_)      V. AUERBACH'S CELLAR     VI. WITCHES' KITCHEN    VII. A STREET   VIII. EVENING     IX. PROMENADE      X. THE NEIGHBOR'S HOUSE      XI. STREET     XII. GARDEN    XIII. A GARDEN-ARBOR     XIV. FOREST AND CAVERN      XV. MARGARET'S ROOM     XVI. MARTHA'S GARDEN    XVII. AT THE FOUNTAIN   XVIII. DONJON (_Margaret's Prayer_)     XIX. NIGHT (_Valentine's Death_)      XX. CATHEDRAL     XXI. WALPURGIS-NIGHT    XXII. OBERON AND TITANIA'S GOLDEN WEDDING   XXIII. DREARY DAY    XXIV. NIGHT     XXV. DUNGEON[Illustration],faust
It is twenty years since I first determined to attempt the translationof _Faust_ in the original metres. At that time although more than ascore of English translations of the First Part and three or four ofthe Second Part were in existence the experiment had not yet beenmade. The prose version of Hayward seemed to have been accepted as thestandard in default of anything more satisfactory: the English criticsgenerally sustaining the translator in his views concerning thesecondary importance of form in Poetry practically discouraged anyfurther attempt; and no one familiar with rhythmical expression throughthe needs of his own nature had devoted the necessary love and patienceto an adequate reproduction of the great work of Goethe's life.,faust
[B] "You are right" said Goethe; "there are great and mysteriousagencies included in the various forms of Poetry. If the substance of my'Roman Elegies' were to be expressed in the tone and measure of Byron's'Don Juan' it would really have an atrocious effect."--_Eckermann_.,faust
"The rhythm" said Goethe "is an unconscious result of the poetic mood.If one should stop to consider it mechanically when about to write apoem one would become bewildered and accomplish nothing of realpoetical value."--_Ibid_.,faust
"_All that is poetic in character should be rythmically treated_! Suchis my conviction; and if even a sort of poetic prose should be graduallyintroduced it would only show that the distinction between prose andpoetry had been completely lost sight of."--_Goethe to Schiller_ 1797.,faust
Tycho Mommsen in his excellent essay _Die Kunst des DeutschenUebersetzers aus neueren Sprachen_ goes so far as to say: "The metricalor rhymed modelling of a poetical work is so essentially the germ of itsbeing that rather than by giving it up we might hope to construct asimilar work of art before the eyes of our countrymen by giving up orchanging the substance. The immeasurable result which has followed workswherein the form has been retained--such as the Homer of Voss and theShakespeare of Tieck and Schlegel--is an incontrovertible evidence ofthe vitality of the endeavor.",faust
[C] "Goethe's poems exercise a great sway over me not only by theirmeaning but also by their rhythm. It is a language which stimulates meto composition."--_Beethoven_.,faust
[E] Mr. Lewes gives the following advice: "The English reader wouldperhaps best succeed who should first read Dr. Anster's brilliantparaphrase and then carefully go through Hayward's prose translation."This is singularly at variance with the view he has just expressed. Dr.Anster's version is an almost incredible dilution of the originalwritten in _other_ metres; while Hayward's entirely omits the element ofpoetry.,faust
"Kommt wie der Wind kommt Wenn Wälder erzittern Kommt wie dieBrandung Wenn Flotten zersplittern! Schnell heran schnell herabSchneller kommt Al'e!--Häuptling und Bub' und Knapp Herr und Vasalle!",faust
"Es fällt der Strahl auf Burg und Thal Und schneeige Gipfel reich anSagen; Viel' Lichter wehn auf blauen Seen Bergab die Wasserstürzejagen! Blas Hüfthorn blas in Wiederhall erschallend: BlasHorn--antwortet Echos hallend hallend hallend!",faust
I have a more serious objection however to urge against Mr. Hayward'sprose translation. Where all the restraints of verse are flung aside weshould expect at least as accurate a reproduction of the sensespirit and tone of the original as the genius of our language willpermit. So far from having given us such a reproduction Mr. Hayward notonly occasionally mistakes the exact meaning of the German text[H] butwherever two phrases may be used to express the meaning with equalfidelity he very frequently selects that which has the less gracestrength or beauty.[I],faust
[H] On his second page the line _Mein Lied ertönt der unbekanntenMenge_ "My song sounds to the unknown multitude" is translated: "My_sorrow_ voices itself to the strange throng." Other Englishtranslators I notice have followed Mr. Hayward in mistaking _Lied_ for_Leid_.,faust
I: I take but one out of numerous instances for the sake ofillustration. The close of the Soldier's Song (Part I. Scene II.) is:--,faust
          "Kühn is das Mühen          Herrlich der Lohn!          Und die Soldaten          Ziehen davon.",faust
          Bold is the endeavor          Splendid the pay!          And the soldiers          March away.,faust
          Bold the adventure          Noble the reward--          And the soldiers          Are off.,faust
While therefore I heartily recognize his lofty appreciation of_Faust_--while I honor him for the patient and conscientious labor hehas bestowed upon his translation--I cannot but feel that he hashimself illustrated the unsoundness of his argument. Nevertheless thecircumstance that his prose translation of _Faust_ has received so muchacceptance proves those qualities of the original work which cannot bedestroyed by a test so violent. From the cold bare outline thusproduced the reader unacquainted with the German language wouldscarcely guess what glow of color what richness of changeful life whatfluent grace and energy of movement have been lost in the process. Wemust of course gratefully receive such an outline where a nearerapproach to the form of the original is impossible but until thelatter has been demonstrated we are wrong to remain content with thecheaper substitute.,faust
It seems to me that in all discussions upon this subject the capacitiesof the English language have received but scanty justice. Theintellectual tendencies of our race have always been somewhatconservative and its standards of literary taste or belief once setup are not varied without a struggle. The English ear is suspicious ofnew metres and unaccustomed forms of expression: there are criticaldetectives on the track of every author and a violation of the acceptedcanons is followed by a summons to judgment. Thus the tendency is tocontract rather than to expand the acknowledged excellences of thelanguage.[J],faust
[K] "At present everything runs in technical grooves and the criticalgentlemen begin to wrangle whether in a rhyme an _s_ should correspondwith an _s_ and not with _sz_. If I were young and reckless enough Iwould purposely offend all such technical caprices: I would usealliteration assonance false rhyme just according to my own will orconvenience--but at the same time I would attend to the main thingand endeavor to say so many good things that every one would beattracted to read and remember them."--_Goethe_ in 1831.,faust
_Erhabener Geist im Geisterreich verloren!Wo immer Deine lichte Wohnung seyZum höh'ren Schaffen bist Du neugeborenUnd singest dort die voll're Litanei.Von jenem Streben das Du auserkorenVom reinsten Aether drin Du athmest freiO neige Dich zu gnädigem ErwiedernDes letzten Wiederhalls von Deinen Liedern!,faust
Den alten Musen die bestäubten KronenNahmst Du zu neuem Glanz mit kühner Hand:Du löst die Räthsel ältester AeonenDurch jüngeren Glauben helleren VerstandUnd machst wo rege Menschengeister wohnenDie ganze Erde Dir zum Vaterland;Und Deine Jünger sehn in Dir verwundertVerkörpert schon das werdende Jahrhundert.,faust
Was Du gesungen Aller Lust und KlagenDes Lebens Wiedersprüche neu vermählt--Die Harfe tausendstimmig frisch geschlagenDie Shakspeare einst die einst Homer gewählt--Darf ich in fremde Klänge übertragenDas Alles wo so Mancher schon gefehlt?Lass Deinen Geist in meiner Stimme klingenUnd was Du sangst lass mich es Dir nachsingen!_,faust
Again ye come ye hovering Forms! I find yeAs early to my clouded sight ye shone!Shall I attempt this once to seize and bind ye?Still o'er my heart is that illusion thrown?Ye crowd more near! Then be the reign assigned yeAnd sway me from your misty shadowy zone!My bosom thrills with youthful passion shakenFrom magic airs that round your march awaken.,faust
Of joyous days ye bring the blissful vision;The dear familiar phantoms rise againAnd like an old and half-extinct traditionFirst Love returns with Friendship in his train.Renewed is Pain: with mournful repetitionLife tracks his devious labyrinthine chainAnd names the Good whose cheating fortune tore themFrom happy hours and left me to deplore them.,faust
Dispersed the friendly troop with all its pleasuresAnd still alas! the echoes first that rang!I bring the unknown multitude my treasures;Their very plaudits give my heart a pangAnd those beside whose joy my Song so flatteredIf still they live wide through the world are scattered.,faust
And grasps me now a long-unwonted yearningFor that serene and solemn Spirit-Land:My song to faint Aeolian murmurs turningSways like a harp-string by the breezes fanned.I thrill and tremble; tear on tear is burningAnd the stern heart is tenderly unmanned.What I possess I see far distant lyingAnd what I lost grows real and undying.,faust
Speak not to me of yonder motley massesWhom but to see puts out the fire of Song!Hide from my view the surging crowd that passesAnd in its whirlpool forces us along!No lead me where some heavenly silence glassesThe purer joys that round the Poet throng--Where Love and Friendship still divinely fashionThe bonds that bless the wreaths that crown his passion!Ah every utterance from the depths of feelingThe timid lips have stammeringly expressed--Now failing now perchance success revealing--Gulps the wild Moment in its greedy breast;Or oft reluctant years its warrant sealingIts perfect stature stands at last confessed!What dazzles for the Moment spends its spirit:What's genuine shall Posterity inherit.,faust
Posterity! Don't name the word to me!If _I_ should choose to preach PosterityWhere would you get contemporary fun?That men _will_ have it there's no blinking:A fine young fellow's presence to my thinkingIs something worth to every one.Who genially his nature can outpourTakes from the People's moods no irritation;The wider circle he acquires the moreSecurely works his inspiration.Then pluck up heart and give us sterling coin!Let Fancy be with her attendants fitted--Sense Reason Sentiment and Passion join--But have a care lest Folly be omitted!,faust
Chiefly enough of incident prepare!They come to look and they prefer to stare.Reel off a host of threads before their facesSo that they gape in stupid wonder: thenBy sheer diffuseness you have won their gracesAnd are at once most popular of men.Only by mass you touch the mass; for anyWill finally himself his bit select:Who offers much brings something unto manyAnd each goes home content with the effectIf you've a piece why just in pieces give it:A hash a stew will bring success believe it!'Tis easily displayed and easy to invent.What use a Whole compactly to present?Your hearers pick and pluck as soon as they receive it!,faust
You do not feel how such a trade debases;How ill it suits the Artist proud and true!The botching work each fine pretender tracesIs I perceive a principle with you.,faust
Then give me back that time of pleasuresWhile yet in joyous growth I sang--When like a fount the crowding measuresUninterrupted gushed and sprang!Then bright mist veiled the world before meIn opening buds a marvel wokeAs I the thousand blossoms brokeWhich every valley richly bore me!I nothing had and yet enough for youth--Joy in Illusion ardent thirst for Truth.Give unrestrained the old emotionThe bliss that touched the verge of painThe strength of Hate Love's deep devotion--O give me back my youth again!,faust
Youth good my friend you certainly requireWhen foes in combat sorely press you;When lovely maids in fond desireHang on your bosom and caress you;When from the hard-won goal the wreathBeckons afar the race awaiting;When after dancing out your breathYou pass the night in dissipating:--But that familiar harp with soulTo play--with grace and bold expressionAnd towards a self-erected goalTo walk with many a sweet digression--This aged Sirs belongs to youAnd we no less revere you for that reason:Age childish makes they say but 'tis not true;We're only genuine children still in Age's season!,faust
The sun-orb sings in emulation'Mid brother-spheres his ancient round:His path predestined through CreationHe ends with step of thunder-sound.The angels from his visage splendidDraw power whose measure none can say;The lofty works uncomprehendedAre bright as on the earliest day.,faust
And swift and swift beyond conceivingThe splendor of the world goes roundDay's Eden-brightness still relievingThe awful Night's intense profound:The ocean-tides in foam are breakingAgainst the rocks' deep bases hurledAnd both the spheric race partakingEternal swift are onward whirled!,faust
And rival storms abroad are surgingFrom sea to land from land to sea.A chain of deepest action forgingRound all in wrathful energy.There flames a desolation blazingBefore the Thunder's crashing way:Yet Lord Thy messengers are praisingThe gentle movement of Thy Day.,faust
Though still by them uncomprehendedFrom these the angels draw their powerAnd all Thy works sublime and splendidAre bright as in Creation's hour.,faust
Since Thou O Lord deign'st to approach againAnd ask us how we do in manner kindestAnd heretofore to meet myself wert fainAmong Thy menials now my face Thou findest.Pardon this troop I cannot follow afterWith lofty speech though by them scorned and spurned:My pathos certainly would move Thy laughterIf Thou hadst not all merriment unlearned.Of suns and worlds I've nothing to be quoted;How men torment themselves is all I've noted.The little god o' the world sticks to the same old wayAnd is as whimsical as on Creation's day.Life somewhat better might content himBut for the gleam of heavenly light which Thou hast lent  him:He calls it Reason--thence his power's increasedTo be far beastlier than any beast.Saving Thy Gracious Presence he to meA long-legged grasshopper appears to beThat springing flies and flying springsAnd in the grass the same old ditty sings.Would he still lay among the grass he grows in!Each bit of dung he seeks to stick his nose in.,faust
Hast thou then nothing more to mention?Com'st ever thus with ill intention?Find'st nothing right on earth eternally?,faust
No Lord! I find things there still bad as they can be.Man's misery even to pity moves my nature;I've scarce the heart to plague the wretched creature.,faust
Forsooth! He serves you after strange devices:No earthly meat or drink the fool suffices:His spirit's ferment far aspireth;Half conscious of his frenzied crazed unrestThe fairest stars from Heaven he requirethFrom Earth the highest raptures and the bestAnd all the Near and Far that he desirethFails to subdue the tumult of his breast.,faust
Though still confused his service unto MeI soon shall lead him to a clearer morning.Sees not the gardener even while buds his treeBoth flower and fruit the future years adorning?,faust
What will you bet? There's still a chance to gain himIf unto me full leave you giveGently upon _my_ road to train him!,faust
As long as he on earth shall liveSo long I make no prohibition.While Man's desires and aspirations stirHe cannot choose but err.,faust
My thanks! I find the dead no acquisitionAnd never cared to have them in my keeping.I much prefer the cheeks where ruddy blood is leapingAnd when a corpse approaches close my house:It goes with me as with the cat the mouse.,faust
Enough! What thou hast asked is granted.Turn off this spirit from his fountain-head;To trap him let thy snares be plantedAnd him with thee be downward led;Then stand abashed when thou art forced to say:A good man through obscurest aspirationHas still an instinct of the one true way.,faust
Agreed! But 'tis a short probation.About my bet I feel no trepidation.If I fulfill my expectationYou'll let me triumph with a swelling breast:Dust shall he eat and with a zestAs did a certain snake my near relation.,faust
Therein thou'rt free according to thy merits;The like of thee have never moved My hate.Of all the bold denying SpiritsThe waggish knave least trouble doth create.Man's active nature flagging seeks too soon the level;Unqualified repose he learns to crave;Whence willingly the comrade him I gaveWho works excites and must create as Devil.But ye God's sons in love and dutyEnjoy the rich the ever-living Beauty!Creative Power that works eternal schemesClasp you in bonds of love relaxing neverAnd what in wavering apparition gleamsFix in its place with thoughts that stand forever!,faust
I like at times to hear The Ancient's wordAnd have a care to be most civil:It's really kind of such a noble LordSo humanly to gossip with the Devil![Illustration][Illustration],faust
I've studied now PhilosophyAnd Jurisprudence Medicine--And even alas! Theology--From end to end with labor keen;And here poor fool! with all my loreI stand no wiser than before:I'm Magister--yea Doctor--hightAnd straight or cross-wise wrong or rightThese ten years long with many woesI've led my scholars by the nose--And see that nothing can be known!_That_ knowledge cuts me to the bone.I'm cleverer true than those fops of teachersDoctors and Magisters Scribes and Preachers;Neither scruples nor doubts come now to smite meNor Hell nor Devil can longer affright me.,faust
